Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.200000,2.320000,2.200000,2.280000,1.232626,9380000
2000-01-04,2.280000,2.320000,2.220000,2.240000,1.211000,9640000
2000-01-05,2.180000,2.240000,2.140000,2.200000,1.189376,14240000
2000-01-06,2.200000,2.240000,2.160000,2.160000,1.167751,6640000
2000-01-07,2.160000,2.160000,2.160000,2.160000,1.167751,0
2000-01-10,2.160000,2.160000,2.160000,2.160000,1.167751,0
2000-01-11,2.220000,2.420000,2.220000,2.360000,1.275875,18615000
2000-01-12,2.360000,2.600000,2.340000,2.560000,1.384001,22360000
2000-01-13,2.580000,2.800000,2.580000,2.700000,1.459688,22700000
2000-01-14,2.720000,2.920000,2.720000,2.800000,1.513751,32870000
2000-01-17,2.840000,3.040000,2.840000,2.960000,1.600250,25645000
2000-01-18,2.960000,2.960000,2.840000,2.920000,1.578626,5180000
2000-01-19,2.820000,3.000000,2.820000,2.860000,1.546188,7305000
2000-01-20,2.880000,2.960000,2.840000,2.840000,1.535376,5945000
2000-01-21,2.820000,2.840000,2.680000,2.720000,1.470501,9360000
2000-01-24,2.740000,2.800000,2.700000,2.720000,1.470501,7380000
2000-01-25,2.760000,2.760000,2.660000,2.700000,1.459688,5195000
2000-01-26,2.760000,2.760000,2.700000,2.740000,1.481313,3835000
2000-01-27,2.760000,2.760000,2.620000,2.680000,1.448876,5025000
2000-01-28,2.720000,2.720000,2.640000,2.700000,1.459688,5015000
2000-01-31,2.660000,2.700000,2.580000,2.640000,1.427251,4455000
2000-02-01,2.640000,2.640000,2.640000,2.640000,1.427251,0
2000-02-02,2.660000,2.800000,2.660000,2.780000,1.502938,5935000
2000-02-03,2.800000,2.920000,2.800000,2.920000,1.578626,8425000
2000-02-04,2.920000,2.920000,2.920000,2.920000,1.578626,0
2000-02-07,2.920000,2.920000,2.920000,2.920000,1.578626,0
2000-02-08,2.960000,3.020000,2.920000,2.940000,1.589438,9485000
2000-02-09,2.960000,3.000000,2.960000,2.980000,1.611063,7165000
2000-02-10,2.960000,3.080000,2.960000,3.060000,1.654313,17095000
2000-02-11,3.100000,3.120000,3.040000,3.100000,1.675938,8945000
2000-02-14,2.960000,3.080000,2.960000,3.080000,1.665126,4800000
2000-02-15,3.080000,3.100000,2.940000,2.940000,1.589438,4285000
